dfname,Variable name,notes1,notes2,notes3,notes4,notes5,notes6,notes7
demohist,study_id,(none),,,,,,
demohist,age_entry,ineligible or people who did not put in a correct date were set to NA,,,,,,
demohist,sex_birth,0 = female,1 = male,8 = uncertain,9 = decline,,,
demohist,alc_week,NA means decline or don’t know,,,,,,
demohist,drinks_p_day,subject id 182 put in drinks_p_day = 41 was set to NA,NA means decline or don’t know,,,,,
demohist,cigarette_ever,Have you ever smoked cigarettes?,(no means less than 20 packs or 12 oz of tobacco in a lifetime or less than 1 cigarette a day for 1 year),0 = No,1 = Yes,9 = Decline,,
demohist,singing_lessons,Have you ever taken voice or singing lessons?,0 = No,1 = Yes,9 = Decline,NAs occur for arms where the question was not activated (yet),,
demohist,singing_ensemble,"Do you sing (or have you ever sung, for at least a year) in a choir/chorus, quartet, or other ensemble with other singers?",0 = No,1 = Yes,9 = Decline,NAs occur for arms where the question was not activated (yet),,
demohist,latino,0 = Not Hispanic or Latino,1 = Hispanic or Latino,9 = Decline,,,,
demohist,other_race,"Participants were set asked to name other race, but most of these are corrected to White",,,,,,
demohist,tag,Indicates which arm in redcap the record resides in,,,,,,
demohist,cri,"1 = participant indicated yes to history of any of asthma, allerg, copd, cf, bronchitis, emphys, lung_other",0 = No,,,,,
demohist,drinks_p_week,drinks_p_day times alc_week,,,,,,
demohist,race,(none),,,,,,
demohist,multiracial,checked off more than one race box,,,,,,
demohist,bmi,NAs will occur if the participant never visited the clinic (i.e. arm 1),,,,,,
demohist,nose_run_ret,from Symptom Card Retrospective,NAs will occur if the participant never visited the clinic (i.e. arm 1),,,,,
demohist,nose_stuf_ret,from Symptom Card Retrospective,NAs will occur if the participant never visited the clinic (i.e. arm 1),,,,,
demohist,sneeze_ret,from Symptom Card Retrospective,NAs will occur if the participant never visited the clinic (i.e. arm 1),,,,,
demohist,throat_sr_ret,from Symptom Card Retrospective,NAs will occur if the participant never visited the clinic (i.e. arm 1),,,,,
demohist,earache_ret,from Symptom Card Retrospective,NAs will occur if the participant never visited the clinic (i.e. arm 1),,,,,
demohist,chest_tight_ret,from Symptom Card Retrospective,NAs will occur if the participant never visited the clinic (i.e. arm 1),,,,,
