"exp","b","m"
"std1_20200620_1",40.1132952935484,-3.58976771290322
"std1_20200623_2",39.6564737,-3.60798477142857
"std1_20200810_1",39.4692582,-3.35435685
"std1_20200815_1",38.2835834,-3.24283805
"std1_20200903_2",38.934787,-3.30650375
"std1_20210121_2",39.4245918666667,-3.44694384285714
"std1_20210128_2",38.0174118392857,-3.45891166071428
"std1_20210209_3",37.6420768,-3.27850687142857
"std1_20210210_2",38.554204,-3.33049592857143
"std3_20200620_1",38.6294198611111,-3.27248511666667
"std3_20200623_2",39.8203457767857,-3.56106702678571
"std3_20200626_2",39.666249,-3.468340875
"std3_20200629_1",39.7790346164384,-3.45896314554795
"std3_20200810_1",39.9695886156015,-3.42542251033834
"std3_20200815_1",39.18137975,-3.44639245833333
"std3_20200903_2",39.4850758214286,-3.43291223809524
"std3_20200929_2",39.7420097767857,-3.52184940178571
"std3_20201010_1",40.7744724107143,-3.64050549404762
"std3_20201013_3",41.1139041964286,-3.46554576785714
"std3_20201028_2",40.5445051071429,-3.44220110714286
"std3_20201103_2",39.1934477321429,-3.34367173214286
"std3_20201106_1",40.4575355,-3.65207004166667
"std3_20201110_2",40.6955506428571,-3.67822010119048
"std3_20201119_2",39.9873558928572,-3.51806397619048
"std3_20201130_1",39.4020169285714,-3.5127052202381
"std3_20201203_2",39.565666375,-3.50453072916667
"std3_20201208_3",39.6698721071429,-3.51663253571429
"std3_20201210_1",39.4891915803571,-3.52546920535714
"std3_20201218_3",38.5940935,-3.39303791666667
"std3_20210106_3",39.4263765714286,-3.43048415476191
"std3_20210107_2",39.0052296964286,-3.69748373809524
"std3_20210121_2",39.6854165892857,-3.54529637053571
"std3_20210128_2",39.1967818035714,-3.55565369940476
"std3_20210209_3",37.9392778928571,-3.37648101785714
"std3_20210210_2",39.4325826428572,-3.49916435119048
"std3_20210216_3",40.6731302857143,-3.73632186904762
"std3_20210219_3",37.6194799375,-3.34392270833333
"std3_20210224_3",38.3830528035714,-3.4512100952381
"std3_20210303_2",39.5929445789474,-3.39217526315789
"std3_20210326_2",40.2191056607143,-3.59236920238095
"std3_20210406_2",38.7790550714286,-3.50078161309524
"std3_20210408_2",38.1954248214286,-3.41775532142857
"std3_20210413_2",39.8504795803571,-3.58664874702381
"std3_20210416_2",38.7111673571429,-3.44857989880952
"std3_20210422_2",39.4608283951925,-3.63296194197971
"std3_20210428_2",41.1539856391997,-3.72664495438244
"std3_20210505_2",38.6526635677826,-3.44020385333152
"std3_20210511_3",39.3289127955536,-3.35935089968593
"std3_20210513_2",40.7797125699878,-3.57752237677985
"std3_20210520_2",38.5965331930779,-3.46210404106349
"std3_20210526_1",39.5180557481467,-3.46521540066136
